Posição;Nome do Deputado;Qtd de Despesas;Total Gasto
316º;Murillo Gouvea;338;R$ 440.009,20
317º;David Soares;456;R$ 438.743,84
318º;Patrus Ananias;1178;R$ 438.718,64
319º;Romero Rodrigues;158;R$ 438.678,84
320º;Pinheirinho;485;R$ 437.808,36
321º;Paulo Freire Costa;171;R$ 436.166,29
322º;Erika Kokay;420;R$ 435.721,44
323º;Jorge Goetten;488;R$ 434.360,31
324º;Eduardo Bismarck;473;R$ 434.317,94
325º;Prof. Reginaldo Veras;318;R$ 434.054,94
326º;Luisa Canziani;240;R$ 432.737,24
327º;Silvye Alves;278;R$ 430.626,87
328º;Hercílio Coelho Diniz;212;R$ 429.009,78
329º;Luiz Fernando Faria;342;R$ 428.979,57
330º;Dra. Alessandra Haber;186;R$ 428.540,97
331º;Jorge Braz;260;R$ 428.415,46
332º;Daniela do Waguinho;155;R$ 427.874,28
333º;Túlio Gadêlha;509;R$ 427.830,57
334º;Paulo Abi-Ackel;707;R$ 427.775,34
335º;Carol Dartora;736;R$ 426.531,38
336º;Márcio Biolchi;528;R$ 426.512,22
337º;Alexandre Lindenmeyer;1856;R$ 426.081,73
338º;Dimas Fabiano;1442;R$ 425.899,75
339º;Roberto Monteiro Pai;614;R$ 425.553,42
340º;General Pazuello;472;R$ 425.308,56
341º;Andreia Siqueira;178;R$ 424.935,81
342º;Orlando Silva;216;R$ 424.847,70
343º;Marcelo Queiroz;231;R$ 424.837,69
344º;Adolfo Viana;209;R$ 424.186,78
345º;Rafael Prudente;101;R$ 423.833,17
346º;Alfredo Gaspar;270;R$ 422.984,52
347º;Felipe Carreras;478;R$ 422.719,22
348º;Sargento Gonçalves;291;R$ 421.469,03
349º;Miguel Ângelo;491;R$ 420.957,79
350º;Emanuel Pinheiro Neto;594;R$ 420.946,60
351º;Eros Biondini;457;R$ 420.435,04
352º;Benedita da Silva;326;R$ 420.095,92
353º;Gustavo Gayer;586;R$ 419.428,09
354º;Laura Carneiro;619;R$ 418.863,97
355º;Renildo Calheiros;344;R$ 418.027,54
356º;AJ Albuquerque;299;R$ 414.765,09
357º;Paulo Magalhães;351;R$ 413.139,67
358º;Rodrigo Gambale;317;R$ 410.633,59
359º;Aluisio Mendes;391;R$ 406.069,90
360º;Julio Cesar Ribeiro;142;R$ 405.703,63
361º;Filipe Barros;471;R$ 404.447,64
362º;Bia Kicis;322;R$ 402.758,26
363º;Duda Salabert;412;R$ 400.675,10
364º;Marcon;1059;R$ 397.248,08
365º;Fernanda Melchionna;384;R$ 396.181,30
366º;Doutor Luizinho;293;R$ 395.210,25
367º;Cobalchini;718;R$ 394.792,90
368º;Luiz Carlos Hauly;480;R$ 392.086,88
369º;Duarte Jr.;195;R$ 392.025,02
370º;Talíria Petrone;620;R$ 391.909,15
371º;Beto Richa;523;R$ 391.703,26
372º;Pedro Paulo;152;R$ 391.145,90
373º;Gilvan da Federal;548;R$ 389.616,36
374º;Joaquim Passarinho;353;R$ 388.503,31
375º;Ruy Carneiro;185;R$ 387.585,52
376º;Jandira Feghali;286;R$ 387.342,35
377º;Júnior Mano;162;R$ 382.421,62
378º;Luiz Carlos Motta;256;R$ 382.207,59
379º;Lucas Redecker;727;R$ 382.144,29
380º;Tiririca;197;R$ 379.921,32
381º;Júnior Ferrari;223;R$ 378.279,67
382º;Rosana Valle;526;R$ 374.498,87
383º;Lêda Borges;168;R$ 373.720,17
384º;Thiago de Joaldo;224;R$ 373.303,78
385º;Isnaldo Bulhões Jr.;344;R$ 371.526,54
386º;Flávia Morais;194;R$ 370.586,87
387º;Gutemberg Reis;620;R$ 369.531,90
388º;Pezenti;293;R$ 367.677,36
389º;Marcos Tavares;231;R$ 367.364,95
390º;Antonio Carlos Rodrigues;238;R$ 366.985,99
391º;Wilson Santiago;176;R$ 366.889,63
392º;Luiza Erundina;450;R$ 364.399,68
393º;Marcos Soares;367;R$ 362.912,30
394º;Gervásio Maia;510;R$ 361.293,92
395º;Luciano Bivar;188;R$ 360.977,13
396º;Bruno Ganem;144;R$ 360.440,30
397º;Fred Costa;457;R$ 360.098,16
398º;Junior Lourenço;149;R$ 360.072,86
399º;Márcio Honaiser;233;R$ 358.837,57
400º;Jeferson Rodrigues;79;R$ 356.950,74
401º;Amanda Gentil;114;R$ 356.900,76
402º;Zucco;401;R$ 350.007,91
403º;Mersinho Lucena;246;R$ 349.594,91
404º;Nikolas Ferreira;355;R$ 347.243,89
405º;Rosangela Moro;317;R$ 346.875,57
406º;Pedro Uczai;809;R$ 346.186,43
407º;Pastor Gil;192;R$ 343.291,75
408º;Eli Borges;315;R$ 342.908,26
409º;Delegada Adriana Accorsi;118;R$ 333.501,69
410º;Lindbergh Farias;254;R$ 326.225,59
411º;Helder Salomão;565;R$ 325.611,53
412º;Icaro de Valmir;266;R$ 324.712,86
413º;Nelson Barbudo;157;R$ 317.718,26
414º;Clarissa Tércio;173;R$ 317.698,17
415º;Geraldo Mendes;122;R$ 314.781,08
416º;Mário Heringer;107;R$ 313.154,87
417º;Renata Abreu;164;R$ 312.605,02
418º;Fábio Macedo;39;R$ 310.002,56
419º;Zé Neto;251;R$ 308.353,83
420º;Rui Falcão;234;R$ 306.366,60
421º;Baleia Rossi;253;R$ 303.645,64
422º;Miguel Lombardi;434;R$ 301.311,96
423º;Helio Lopes;330;R$ 299.231,45
424º;Elcione Barbalho;335;R$ 290.511,04
425º;Carlos Jordy;190;R$ 290.327,41
426º;José Priante;236;R$ 289.063,11
427º;Juarez Costa;176;R$ 278.221,40
428º;Carlos Chiodini;461;R$ 267.207,40
429º;Fábio Teruel;548;R$ 263.565,28
430º;Vicentinho Júnior;55;R$ 259.925,72
431º;Junio Amaral;379;R$ 245.191,31
432º;Yandra Moura;121;R$ 242.027,54
433º;Alexandre Leite;264;R$ 238.341,57
434º;Newton Cardoso Jr;172;R$ 236.373,31
435º;Robério Monteiro;62;R$ 234.495,72
436º;Geovania de Sá;288;R$ 233.628,98
437º;Hugo Leal;419;R$ 224.573,06
438º;Pastor Sargento Isidório;128;R$ 223.229,60
439º;Delegado Caveira;196;R$ 220.177,29
440º;Sargento Fahur;667;R$ 218.117,50
441º;Beto Preto;254;R$ 216.598,18
442º;Any Ortiz;422;R$ 210.689,19
443º;Marcelo Moraes;383;R$ 209.468,40
444º;Paulinho da Força;177;R$ 208.573,24
445º;Paulo Alexandre Barbosa;176;R$ 200.464,49
446º;Daniel Agrobom;181;R$ 200.320,97
447º;André Fernandes;121;R$ 197.095,07
448º;Soraya Santos;213;R$ 193.766,82
449º;Alex Manente;177;R$ 190.920,88
450º;Celso Russomanno;596;R$ 189.824,91
451º;Marcel van Hattem;498;R$ 167.733,00
452º;Hildo Rocha;120;R$ 159.732,75
453º;Caroline de Toni;249;R$ 149.641,97
454º;Gilson Marques;147;R$ 148.251,87
455º;Dr. Daniel Soranz;65;R$ 147.124,98
456º;Dr Flávio;98;R$ 141.071,14
457º;Silvio Antonio;14;R$ 139.255,27
458º;Kim Kataguiri;174;R$ 135.294,23
459º;Paulo Marinho Jr;35;R$ 127.110,79
460º;Delegado Bruno Lima;83;R$ 118.261,77
461º;Fausto Jr.;47;R$ 104.090,38
462º;Arthur Lira;170;R$ 77.606,00
463º;Fabio Reis;25;R$ 74.665,08
464º;Ricardo Guidi;177;R$ 71.385,06
465º;Danrlei de Deus Hinterholz;91;R$ 66.782,61
466º;Adriana Ventura;278;R$ 48.875,22
467º;Ricardo Abrão;5;R$ 19.246,03
468º;Ribamar Silva;6;R$ 16.327,91
469º;Marcio Alvino;113;R$ 12.820,35
470º;Amom Mandel;33;R$ 9.843,19
471º;Sérgio Brito;8;R$ 8.192,50
472º;Afonso Florence;1;R$ 1.469,95
473º;Guilherme Derrite;1;R$ 1.392,20
474º;Carlos Gomes;17;R$ 1.098,65
475º;Felipe Becari;2;R$ 152,44
476º;Celso Sabino;1;R$ -1.414,22
477º;Fabio Garcia;2;R$ -3.321,64
478º;Milton Vieira;4;R$ -5.683,46
479º;André Fufuca;6;R$ -6.056,39
