ano,sigla_uf,populacao
2004,RJ,15203750
2000,RJ,14392106
2010,RJ,15989929
2007,RJ,15420450
1996,RJ,13406308
1995,RJ,13296419
2023,RJ,16055174
2012,RJ,16231365
2017,RJ,16718956
2022,RJ,16055174
1998,RJ,13681410
2014,RJ,16461173
2018,RJ,17159960
2025,RJ,17223547
1994,RJ,13182301
2003,RJ,14879118
2019,RN,3506853
1993,RN,2503463
2006,RN,3043760
2020,RN,3534165
2009,RN,3137541
2021,RN,3560903
2018,RN,3479010
2008,RN,3106430
2005,RN,3003087
1996,RN,2558660
2000,RN,2777509
2017,RN,3507003
2012,RN,3228198
1997,RN,2594340
2004,RN,2962107
2001,RN,2815244
1991,RN,2415077
2014,RN,3408510
1998,RN,2624397
1992,RN,2448267
2025,RN,3455236
2002,RN,2852784
2024,RN,3446071
2003,RN,2888058
2023,RN,3302729
2007,RN,3013740
1995,RN,2582339
1994,RN,2543397
2011,RN,3198657
2010,RN,3168027
2013,RN,3373959
2015,RN,3442175
1999,RN,2654501
2022,RN,3302729
2016,RN,3474998
2009,RO,1503928
2015,RO,1768204
2007,RO,1453756
1991,RO,1133265
1996,RO,1229306
2008,RO,1493566
2024,RO,1746227
2005,RO,1534594
2017,RO,1805788
1995,RO,1339507
1998,RO,1276173
1993,RO,1241693
2025,RO,1751950
2001,RO,1407886
2022,RO,1581196
2019,RO,1777225
2016,RO,1787279
1997,RO,1255522
2011,RO,1576455
2013,RO,1728214
2020,RO,1796460
2003,RO,1455907
2000,RO,1380952
2012,RO,1590011
1999,RO,1296856
2002,RO,1431777
1994,RO,1291214
1992,RO,1190739
2010,RO,1562409
2021,RO,1815278
2018,RO,1757589
2004,RO,1562085
2014,RO,1748531
2023,RO,1581196
2006,RO,1562417
1993,RR,241099
2006,RR,403344
2010,RR,450479
2013,RR,488072
1992,RR,228749
1997,RR,254499
2015,RR,505665
1994,RR,251783
2016,RR,514229
2025,RR,738772
1995,RR,262201
2020,RR,631181
2005,RR,391317
2022,RR,636707
2002,RR,346871
2011,RR,460165
1998,RR,260705
2007,RR,395725
2004,RR,381896
1991,RR,217583
1999,RR,266922
2014,RR,496936
2023,RR,636707
2003,RR,357302
2009,RR,421499
2000,RR,324397
2021,RR,652713
2018,RR,576568
2017,RR,522636
2008,RR,412783
2012,RR,469524
2024,RR,716793
2001,RR,337237
1996,RR,247131
2019,RR,605761
1993,RS,9370531
2020,RS,11422973
2009,RS,10914128
2014,RS,11207274
2016,RS,11286500
2005,RS,10845087
2012,RS,10770603
2008,RS,10855214
1991,RS,9138463
2011,RS,10733030
1998,RS,9866928
2010,RS,10693929
2015,RS,11247972
2025,RS,11233263
1994,RS,9475871
1997,RS,9762110
2004,RS,10726063
2006,RS,10963219
2000,RS,10187842
1999,RS,9971910
2021,RS,11466630
2007,RS,10582887
2019,RS,11377239
2024,RS,11229915
1996,RS,9634688
2002,RS,10408540
2017,RS,11322895
2023,RS,10882965
2001,RS,10309819
2018,RS,11329605
2022,RS,10882965
1992,RS,9249199
1995,RS,9578597
2013,RS,11164043
2003,RS,10510992
2006,SC,5958266
2018,SC,7075494
2011,SC,6317054
2004,SC,5774178
2001,SC,5448736
1993,SC,4697277
2007,SC,5866487
2002,SC,5527707
2019,SC,7164788
1996,SC,4875244
2021,SC,7338473
1997,SC,4958339
2022,SC,7610361
1992,SC,4614268
2000,SC,5357862
2013,SC,6634254
2024,SC,8058441
1999,SC,5098448
2023,SC,7610361
2008,SC,6052587
2009,SC,6118743
2005,SC,5866568
1998,SC,5028339
2010,SC,6248436
2016,SC,6910553
2015,SC,6819190
2025,SC,8187029
1991,SC,4542048
2020,SC,7252502
2003,SC,5607233
1994,SC,4767826
2014,SC,6727148
2017,SC,7001161
2012,SC,6383286
1995,SC,4836624
2025,SE,2299425
1998,SE,1684953
1995,SE,1605257
2022,SE,2210004
2020,SE,2318822
2004,SE,1934596
2013,SE,2195662
2006,SE,2000738
1996,SE,1624020
2023,SE,2210004
2017,SE,2288116
2007,SE,1939426
2009,SE,2019679
1999,SE,1712786
1997,SE,1657164
2008,SE,1999374
1992,SE,1515142
2003,SE,1874613
2014,SE,2219574
1994,SE,1578782
2002,SE,1846039
2011,SE,2089819
2015,SE,2242937
2024,SE,2291077
2001,SE,1817301
2016,SE,2265779
2018,SE,2278308
1993,SE,1551633
2021,SE,2338474
2005,SE,1967791
2000,SE,1784829
2010,SE,2068017
1991,SE,1491878
2019,SE,2298696
2012,SE,2110867
1993,SP,32701353
2007,SP,39827690
2024,SP,45973194
1994,SP,33206755
2022,SP,44411238
2014,SP,44035304
2006,SP,41055734
2005,SP,40442795
2021,SP,46649132
2023,SP,44411238
2020,SP,46289333
1996,SP,34119110
2012,SP,41901219
2002,SP,38177742
1992,SP,32126058
1997,SP,34752225
2004,SP,39825226
2009,SP,41384039
2000,SP,37035455
2003,SP,38709320
2011,SP,41587182
1998,SP,35284072
2013,SP,43663669
2018,SP,45538936
2016,SP,44749699
2025,SP,46081801
2015,SP,44396484
1995,SP,33699614
2001,SP,37630106
2017,SP,45094866
2019,SP,45919049
1991,SP,31588794
2010,SP,41262199
2008,SP,41011635
1999,SP,35816740
2003,TO,1230181
1999,TO,1134895
2004,TO,1262644
2009,TO,1292051
2019,TO,1572866
2020,TO,1590248
2001,TO,1184895
2015,TO,1515126
2023,TO,1511460
2018,TO,1555229
1991,TO,918400
2013,TO,1478164
2017,TO,1550194
2014,TO,1496880
2025,TO,1586859
1994,TO,990760
2024,TO,1577342
1992,TO,946604
1997,TO,1080753
2008,TO,1280509
1998,TO,1107803
2006,TO,1332441
2022,TO,1511460
2011,TO,1400892
1996,TO,1048642
1993,TO,970259
1995,TO,1007041
2021,TO,1607363
2002,TO,1207014
2005,TO,1305728
2016,TO,1532902
2007,TO,1243627
2010,TO,1383445
2012,TO,1417694
2000,TO,1157690
