Causa - CID-BR-10,UF,Obitos
... 013 Infecção meningocócica,PI,4
... 014 Septicemia,PI,1655
... 015 Infecções com transmissão predom sexual,PI,59
. 016-023 Doenças virais,PI,1169
... 017 Raiva,PI,1
... 018 Dengue,PI,27
... 019 Febre amarela,PI,0
... 020 Out febres p/arbovírus e febr hemor virais,PI,70
... 021 Sarampo,PI,0
... 022 Hepatite viral,PI,91
... 023 Doen p/vírus da imunodefic humana (HIV),PI,939
. 024-027 Doenças transmitidas por protozoários,PI,402
... 024 Malária,PI,1
... 025 Leishmaniose,PI,73
... 026 Doença de Chagas,PI,321
... 027 Toxoplasmose,PI,4
. 028-030 Helmintíases,PI,24
... 028 Esquistossomose,PI,2
... 029 Cisticercose,PI,16
... 030 Restante de helmintíases,PI,6
. 031 Restante algumas doenç infec e parasitárias,PI,8731
032-052 NEOPLASIAS,PI,18900
". 032 Neopl malig do lábio, cav oral e faringe",PI,589
. 033 Neoplasia maligna do esôfago,PI,592
. 034 Neoplasia maligna do estômago,PI,917
". 035 Neoplasia maligna do cólon,reto e ânus",PI,1113
. 036 Neopl malig do fígado e vias bil intrahepát,PI,1103
. 037 Neoplasia maligna do pâncreas,PI,719
. 038 Neoplasia maligna da laringe,PI,375
". 039 Neopl malig da traquéia,brônquios e pulmões",PI,2159
. 040 Neoplasia maligna da pele,PI,121
. 041 Neoplasia maligna da mama,PI,1426
. 042 Neoplasia maligna do colo do útero,PI,930
. 043 Neopl malig de corpo e partes n/esp útero,PI,233
. 044 Neoplasia maligna do ovário,PI,337
. 045 Neoplasia maligna da próstata,PI,1581
. 046 Neoplasia maligna da bexiga,PI,237
". 047 Neopl malig mening,encéf e out partes SNC",PI,846
. 048 Linfoma não-Hodgkin,PI,350
. 049 Mieloma mult e neopl malig de plasmócitos,PI,266
. 050 Leucemia,PI,620
". 051 Neoplasias in situ, benig, comport incert",PI,625
. 052 Restante de neoplasias malignas,PI,3761
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,PI,788
. 053 Anemias,PI,544
". 054 Rest d sangue, org hemat e alg transt imunit",PI,244
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",PI,10520
. 055 Diabetes mellitus,PI,8894
. 056 Desnutrição,PI,385
". 057 Rest doenças endócr, nutricion e metabólicas",PI,1241
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,PI,1713
. 058 Transt ment e comport uso subst psicoativas,PI,1434
... 058.1 Trans ment e comport devid uso álcool,PI,1043
. 059 Rest transtornos mentais e comportamentais,PI,279
060-063 DOENÇAS DO SISTEMA NERVOSO,PI,4179
. 060 Meningite,PI,41
. 061 Doença de Alzheimer,PI,1891
. 062 Epilepsia,PI,527
. 063 Restante das doenças do sistema nervoso,PI,1720
064 DOENÇAS DOS OLHOS E ANEXOS,PI,3
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,PI,16
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,PI,41517
. 066 Febre reumát aguda e doen reum crôn coração,PI,146
. 067 Doenças hipertensivas,PI,8670
. 068 Doenças isquêmicas do coração,PI,12499
... 068.1 Infarto agudo do miocárdio,PI,10298
. 069 Outras doenças cardíacas,PI,5495
. 070 Doenças cerebrovasculares,PI,13319
. 071 Aterosclerose,PI,233
. 072 Rest doenças do aparelho circulatório,PI,1155
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,PI,14839
. 073 Influenza (gripe),PI,224
. 074 Pneumonia,PI,8871
. 075 Out infec agudas das vias aéreas inferiores,PI,152
... 075.1 Bronquiolite,PI,52
. 076 Doenças crônicas das vias aéreas inferiores,PI,3099
... 076.1 Asma,PI,307
. 077 Restante  doenças do aparelho respiratório,PI,2493
078-082 DOENÇAS DO APARELHO DIGESTIVO,PI,7079
". 078 Úlcera gástrica, duodenal e péptica",PI,561
. 079 Peritonite,PI,126
. 080 Doenças do fígado,PI,2656
... 080.1 Doença alcoólica do fígado,PI,1376
... 080.2 Fibrose e cirrose do fígado,PI,565
... 080.3 Outras doenças do fígado,PI,715
. 081 Colecistite,PI,134
. 082 Rest doenças do aparelho digestivo,PI,3602
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,PI,913
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,PI,479
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,PI,3285
. 085 D glomerulares e d renais túbulo-interstic,PI,231
. 086 Insuficiência renal,PI,1734
. 087 Rest doenças do aparelho geniturinário,PI,1320
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",PI,310
. 088 Gravidez que termina em aborto,PI,9
. 089 Outras causas obstétricas diretas,PI,167
. 090 Causas obstétricas indiretas,PI,76
. 091 Causa obstétrica não espec direta/indireta,PI,5
. 092 Causas maternas tardias e sequelas,PI,53
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,PI,2301
. 093 Feto e recemnasc afet fat mat e compl grav,PI,1009
. 094 Transt relac duração gestação e cresc fetal,PI,148
. 095 Traumatismo de parto,PI,8
. 096 Trans resp e cardiovas espec per perinatal,PI,633
. 097 Rest afec originadas no período perinatal,PI,503
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",PI,1303
. 098 Malformações congênitas do sistema nervoso,PI,220
. 099 Malf congênitas do aparelho circulatório,PI,479
". 100 Rest de malf cong, deform e anomal Cromoss",PI,604
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",PI,6691
. 101 Senilidade,PI,413
. 102 Morte sem assistência médica,PI,2466
". 103 Rest sint, sin e ach anorm clín e laborat",PI,3812
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,PI,16109
. 104 Acidentes de transporte,PI,5979
. 105 Quedas,PI,1317
. 106 Afogamento e submersões acidentais,PI,637
". 107 Exposição à fumaça, ao fogo e às chamas",PI,83
". 108 Envenen, intoxic por ou expos a subst nociv",PI,86
. 109 Lesões autoprovocadas voluntariamente,PI,2160
. 110 Agressões,PI,4296
. 111 Eventos(fatos) cuja intenção é indeterminada,PI,637
. 112 Intervenções legais e operações de guerra,PI,8
. 113 Todas as outras causas externas,PI,906
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,CE,46161
. 001 Doenças infecciosas intestinais,CE,1668
... 003 Diarréia e gastroenterite orig infec pres,CE,1224
... 004 Outras doenças infecciosas intestinais,CE,444
..... 004.1 Febres tifóide e paratifóide,CE,0
. 005-006 Tuberculose,CE,1322
... 005 Tuberculose respiratória,CE,1199
... 006 Outras tuberculoses,CE,123
. 007-015 Outras doenças bacterianas,CE,9062
... 008 Leptospirose,CE,64
... 009 Hanseníase,CE,55
... 010 Tétano,CE,17
..... 010.1 Tétano neonatal,CE,0
..... 010.3 Tétano acidental,CE,17
... 011 Difteria,CE,0
... 012 Coqueluche,CE,1
... 013 Infecção meningocócica,CE,30
... 014 Septicemia,CE,7497
... 015 Infecções com transmissão predom sexual,CE,53
. 016-023 Doenças virais,CE,2510
... 017 Raiva,CE,0
... 018 Dengue,CE,42
... 019 Febre amarela,CE,0
... 020 Out febres p/arbovírus e febr hemor virais,CE,159
... 021 Sarampo,CE,1
... 022 Hepatite viral,CE,186
... 023 Doen p/vírus da imunodefic humana (HIV),CE,1960
. 024-027 Doenças transmitidas por protozoários,CE,525
... 024 Malária,CE,3
... 025 Leishmaniose,CE,154
... 026 Doença de Chagas,CE,325
... 027 Toxoplasmose,CE,23
. 028-030 Helmintíases,CE,78
... 028 Esquistossomose,CE,24
... 029 Cisticercose,CE,37
... 030 Restante de helmintíases,CE,17
. 031 Restante algumas doenç infec e parasitárias,CE,30996
032-052 NEOPLASIAS,CE,60176
". 032 Neopl malig do lábio, cav oral e faringe",CE,2000
. 033 Neoplasia maligna do esôfago,CE,2191
. 034 Neoplasia maligna do estômago,CE,4735
". 035 Neoplasia maligna do cólon,reto e ânus",CE,3880
. 036 Neopl malig do fígado e vias bil intrahepát,CE,2406
. 037 Neoplasia maligna do pâncreas,CE,2480
. 038 Neoplasia maligna da laringe,CE,1261
". 039 Neopl malig da traquéia,brônquios e pulmões",CE,8075
. 040 Neoplasia maligna da pele,CE,379
. 041 Neoplasia maligna da mama,CE,4715
. 042 Neoplasia maligna do colo do útero,CE,2012
. 043 Neopl malig de corpo e partes n/esp útero,CE,830
. 044 Neoplasia maligna do ovário,CE,1090
. 045 Neoplasia maligna da próstata,CE,4150
. 046 Neoplasia maligna da bexiga,CE,858
". 047 Neopl malig mening,encéf e out partes SNC",CE,2316
. 048 Linfoma não-Hodgkin,CE,1109
. 049 Mieloma mult e neopl malig de plasmócitos,CE,807
. 050 Leucemia,CE,1847
". 051 Neoplasias in situ, benig, comport incert",CE,1492
. 052 Restante de neoplasias malignas,CE,11543
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,CE,1731
. 053 Anemias,CE,1095
". 054 Rest d sangue, org hemat e alg transt imunit",CE,636
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",CE,18225
. 055 Diabetes mellitus,CE,14105
. 056 Desnutrição,CE,1220
". 057 Rest doenças endócr, nutricion e metabólicas",CE,2900
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,CE,6005
. 058 Transt ment e comport uso subst psicoativas,CE,2834
... 058.1 Trans ment e comport devid uso álcool,CE,2087
. 059 Rest transtornos mentais e comportamentais,CE,3171
060-063 DOENÇAS DO SISTEMA NERVOSO,CE,14111
. 060 Meningite,CE,146
. 061 Doença de Alzheimer,CE,6936
. 062 Epilepsia,CE,1069
. 063 Restante das doenças do sistema nervoso,CE,5960
064 DOENÇAS DOS OLHOS E ANEXOS,CE,8
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,CE,72
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,CE,93748
. 066 Febre reumát aguda e doen reum crôn coração,CE,577
. 067 Doenças hipertensivas,CE,13971
. 068 Doenças isquêmicas do coração,CE,29477
... 068.1 Infarto agudo do miocárdio,CE,24358
. 069 Outras doenças cardíacas,CE,19297
. 070 Doenças cerebrovasculares,CE,26022
. 071 Aterosclerose,CE,98
. 072 Rest doenças do aparelho circulatório,CE,4306
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,CE,46420
. 073 Influenza (gripe),CE,504
. 074 Pneumonia,CE,26376
. 075 Out infec agudas das vias aéreas inferiores,CE,262
... 075.1 Bronquiolite,CE,65
. 076 Doenças crônicas das vias aéreas inferiores,CE,8633
... 076.1 Asma,CE,591
. 077 Restante  doenças do aparelho respiratório,CE,10645
078-082 DOENÇAS DO APARELHO DIGESTIVO,CE,19287
". 078 Úlcera gástrica, duodenal e péptica",CE,1169
. 079 Peritonite,CE,713
. 080 Doenças do fígado,CE,7152
... 080.1 Doença alcoólica do fígado,CE,3234
... 080.2 Fibrose e cirrose do fígado,CE,2523
... 080.3 Outras doenças do fígado,CE,1395
. 081 Colecistite,CE,516
. 082 Rest doenças do aparelho digestivo,CE,9737
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,CE,2852
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,CE,1945
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,CE,10041
. 085 D glomerulares e d renais túbulo-interstic,CE,1070
. 086 Insuficiência renal,CE,4441
. 087 Rest doenças do aparelho geniturinário,CE,4530
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",CE,591
. 088 Gravidez que termina em aborto,CE,23
. 089 Outras causas obstétricas diretas,CE,265
. 090 Causas obstétricas indiretas,CE,196
. 091 Causa obstétrica não espec direta/indireta,CE,6
. 092 Causas maternas tardias e sequelas,CE,101
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,CE,4737
. 093 Feto e recemnasc afet fat mat e compl grav,CE,935
. 094 Transt relac duração gestação e cresc fetal,CE,660
. 095 Traumatismo de parto,CE,17
. 096 Trans resp e cardiovas espec per perinatal,CE,1657
. 097 Rest afec originadas no período perinatal,CE,1468
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",CE,2744
. 098 Malformações congênitas do sistema nervoso,CE,472
. 099 Malf congênitas do aparelho circulatório,CE,1074
". 100 Rest de malf cong, deform e anomal Cromoss",CE,1198
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",CE,10966
. 101 Senilidade,CE,609
. 102 Morte sem assistência médica,CE,483
". 103 Rest sint, sin e ach anorm clín e laborat",CE,9874
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,CE,49037
. 104 Acidentes de transporte,CE,10876
. 105 Quedas,CE,3634
. 106 Afogamento e submersões acidentais,CE,1668
". 107 Exposição à fumaça, ao fogo e às chamas",CE,111
". 108 Envenen, intoxic por ou expos a subst nociv",CE,119
. 109 Lesões autoprovocadas voluntariamente,CE,4456
. 110 Agressões,CE,18913
. 111 Eventos(fatos) cuja intenção é indeterminada,CE,6760
. 112 Intervenções legais e operações de guerra,CE,53
. 113 Todas as outras causas externas,CE,2447
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,RN,14842
. 001 Doenças infecciosas intestinais,RN,820
... 003 Diarréia e gastroenterite orig infec pres,RN,481
... 004 Outras doenças infecciosas intestinais,RN,339
..... 004.1 Febres tifóide e paratifóide,RN,0
. 005-006 Tuberculose,RN,476
... 005 Tuberculose respiratória,RN,427
... 006 Outras tuberculoses,RN,49
. 007-015 Outras doenças bacterianas,RN,2853
... 008 Leptospirose,RN,8
... 009 Hanseníase,RN,8
... 010 Tétano,RN,4
..... 010.1 Tétano neonatal,RN,0
..... 010.3 Tétano acidental,RN,4
... 011 Difteria,RN,1
... 012 Coqueluche,RN,0
... 013 Infecção meningocócica,RN,5
... 014 Septicemia,RN,1977
... 015 Infecções com transmissão predom sexual,RN,33
. 016-023 Doenças virais,RN,1109
... 017 Raiva,RN,0
... 018 Dengue,RN,20
... 019 Febre amarela,RN,0
... 020 Out febres p/arbovírus e febr hemor virais,RN,69
... 021 Sarampo,RN,0
... 022 Hepatite viral,RN,105
... 023 Doen p/vírus da imunodefic humana (HIV),RN,852
. 024-027 Doenças transmitidas por protozoários,RN,168
... 024 Malária,RN,0
... 025 Leishmaniose,RN,36
... 026 Doença de Chagas,RN,118
... 027 Toxoplasmose,RN,7
. 028-030 Helmintíases,RN,25
... 028 Esquistossomose,RN,18
... 029 Cisticercose,RN,4
... 030 Restante de helmintíases,RN,3
. 031 Restante algumas doenç infec e parasitárias,RN,9391
032-052 NEOPLASIAS,RN,22619
". 032 Neopl malig do lábio, cav oral e faringe",RN,796
. 033 Neoplasia maligna do esôfago,RN,797
. 034 Neoplasia maligna do estômago,RN,1524
". 035 Neoplasia maligna do cólon,reto e ânus",RN,1678
. 036 Neopl malig do fígado e vias bil intrahepát,RN,909
. 037 Neoplasia maligna do pâncreas,RN,1008
. 038 Neoplasia maligna da laringe,RN,465
". 039 Neopl malig da traquéia,brônquios e pulmões",RN,2787
. 040 Neoplasia maligna da pele,RN,174
. 041 Neoplasia maligna da mama,RN,1816
. 042 Neoplasia maligna do colo do útero,RN,763
. 043 Neopl malig de corpo e partes n/esp útero,RN,340
. 044 Neoplasia maligna do ovário,RN,381
. 045 Neoplasia maligna da próstata,RN,1685
. 046 Neoplasia maligna da bexiga,RN,321
". 047 Neopl malig mening,encéf e out partes SNC",RN,786
. 048 Linfoma não-Hodgkin,RN,427
. 049 Mieloma mult e neopl malig de plasmócitos,RN,317
. 050 Leucemia,RN,769
". 051 Neoplasias in situ, benig, comport incert",RN,559
. 052 Restante de neoplasias malignas,RN,4317
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,RN,776
. 053 Anemias,RN,524
". 054 Rest d sangue, org hemat e alg transt imunit",RN,252
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",RN,9775
. 055 Diabetes mellitus,RN,8059
. 056 Desnutrição,RN,567
". 057 Rest doenças endócr, nutricion e metabólicas",RN,1149
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,RN,1577
. 058 Transt ment e comport uso subst psicoativas,RN,895
... 058.1 Trans ment e comport devid uso álcool,RN,626
. 059 Rest transtornos mentais e comportamentais,RN,682
060-063 DOENÇAS DO SISTEMA NERVOSO,RN,4679
. 060 Meningite,RN,53
. 061 Doença de Alzheimer,RN,2719
. 062 Epilepsia,RN,418
. 063 Restante das doenças do sistema nervoso,RN,1489
064 DOENÇAS DOS OLHOS E ANEXOS,RN,5
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,RN,31
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,RN,37575
. 066 Febre reumát aguda e doen reum crôn coração,RN,285
. 067 Doenças hipertensivas,RN,6092
. 068 Doenças isquêmicas do coração,RN,15445
... 068.1 Infarto agudo do miocárdio,RN,11804
. 069 Outras doenças cardíacas,RN,5398
. 070 Doenças cerebrovasculares,RN,8606
. 071 Aterosclerose,RN,98
. 072 Rest doenças do aparelho circulatório,RN,1651
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,RN,14928
. 073 Influenza (gripe),RN,163
. 074 Pneumonia,RN,8470
. 075 Out infec agudas das vias aéreas inferiores,RN,84
... 075.1 Bronquiolite,RN,27
. 076 Doenças crônicas das vias aéreas inferiores,RN,3416
... 076.1 Asma,RN,238
. 077 Restante  doenças do aparelho respiratório,RN,2795
078-082 DOENÇAS DO APARELHO DIGESTIVO,RN,6982
". 078 Úlcera gástrica, duodenal e péptica",RN,399
. 079 Peritonite,RN,163
. 080 Doenças do fígado,RN,2889
... 080.1 Doença alcoólica do fígado,RN,1438
... 080.2 Fibrose e cirrose do fígado,RN,873
... 080.3 Outras doenças do fígado,RN,578
. 081 Colecistite,RN,199
. 082 Rest doenças do aparelho digestivo,RN,3332
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,RN,1115
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,RN,1128
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,RN,4553
. 085 D glomerulares e d renais túbulo-interstic,RN,854
. 086 Insuficiência renal,RN,1227
. 087 Rest doenças do aparelho geniturinário,RN,2472
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",RN,239
. 088 Gravidez que termina em aborto,RN,9
. 089 Outras causas obstétricas diretas,RN,94
. 090 Causas obstétricas indiretas,RN,99
. 091 Causa obstétrica não espec direta/indireta,RN,2
. 092 Causas maternas tardias e sequelas,RN,35
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,RN,1824
. 093 Feto e recemnasc afet fat mat e compl grav,RN,617
. 094 Transt relac duração gestação e cresc fetal,RN,152
. 095 Traumatismo de parto,RN,6
. 096 Trans resp e cardiovas espec per perinatal,RN,506
. 097 Rest afec originadas no período perinatal,RN,543
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",RN,961
. 098 Malformações congênitas do sistema nervoso,RN,174
. 099 Malf congênitas do aparelho circulatório,RN,337
". 100 Rest de malf cong, deform e anomal Cromoss",RN,450
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",RN,4721
. 101 Senilidade,RN,316
. 102 Morte sem assistência médica,RN,60
". 103 Rest sint, sin e ach anorm clín e laborat",RN,4345
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,RN,14926
. 104 Acidentes de transporte,RN,2715
. 105 Quedas,RN,1198
. 106 Afogamento e submersões acidentais,RN,520
". 107 Exposição à fumaça, ao fogo e às chamas",RN,47
". 108 Envenen, intoxic por ou expos a subst nociv",RN,16
. 109 Lesões autoprovocadas voluntariamente,RN,1474
. 110 Agressões,RN,6771
. 111 Eventos(fatos) cuja intenção é indeterminada,RN,1056
. 112 Intervenções legais e operações de guerra,RN,54
. 113 Todas as outras causas externas,RN,1075
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,PB,18571
. 001 Doenças infecciosas intestinais,PB,626
... 003 Diarréia e gastroenterite orig infec pres,PB,384
... 004 Outras doenças infecciosas intestinais,PB,242
..... 004.1 Febres tifóide e paratifóide,PB,1
. 005-006 Tuberculose,PB,531
... 005 Tuberculose respiratória,PB,498
... 006 Outras tuberculoses,PB,33
. 007-015 Outras doenças bacterianas,PB,5040
... 008 Leptospirose,PB,16
... 009 Hanseníase,PB,21
... 010 Tétano,PB,8
..... 010.1 Tétano neonatal,PB,0
..... 010.3 Tétano acidental,PB,8
... 011 Difteria,PB,0
... 012 Coqueluche,PB,0
... 013 Infecção meningocócica,PB,12
... 014 Septicemia,PB,3942
... 015 Infecções com transmissão predom sexual,PB,40
. 016-023 Doenças virais,PB,1262
... 017 Raiva,PB,0
... 018 Dengue,PB,39
... 019 Febre amarela,PB,0
... 020 Out febres p/arbovírus e febr hemor virais,PB,64
... 021 Sarampo,PB,0
... 022 Hepatite viral,PB,124
... 023 Doen p/vírus da imunodefic humana (HIV),PB,995
. 024-027 Doenças transmitidas por protozoários,PB,219
... 024 Malária,PB,0
... 025 Leishmaniose,PB,14
... 026 Doença de Chagas,PB,194
... 027 Toxoplasmose,PB,7
. 028-030 Helmintíases,PB,67
... 028 Esquistossomose,PB,54
... 029 Cisticercose,PB,3
... 030 Restante de helmintíases,PB,10
. 031 Restante algumas doenç infec e parasitárias,PB,10826
032-052 NEOPLASIAS,PB,26173
". 032 Neopl malig do lábio, cav oral e faringe",PB,910
. 033 Neoplasia maligna do esôfago,PB,906
. 034 Neoplasia maligna do estômago,PB,1737
". 035 Neoplasia maligna do cólon,reto e ânus",PB,1580
. 036 Neopl malig do fígado e vias bil intrahepát,PB,1272
. 037 Neoplasia maligna do pâncreas,PB,1081
. 038 Neoplasia maligna da laringe,PB,637
". 039 Neopl malig da traquéia,brônquios e pulmões",PB,2895
. 040 Neoplasia maligna da pele,PB,115
. 041 Neoplasia maligna da mama,PB,1931
. 042 Neoplasia maligna do colo do útero,PB,834
. 043 Neopl malig de corpo e partes n/esp útero,PB,460
. 044 Neoplasia maligna do ovário,PB,378
. 045 Neoplasia maligna da próstata,PB,2041
. 046 Neoplasia maligna da bexiga,PB,393
". 047 Neopl malig mening,encéf e out partes SNC",PB,1165
. 048 Linfoma não-Hodgkin,PB,479
. 049 Mieloma mult e neopl malig de plasmócitos,PB,368
. 050 Leucemia,PB,716
". 051 Neoplasias in situ, benig, comport incert",PB,555
. 052 Restante de neoplasias malignas,PB,5720
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,PB,853
. 053 Anemias,PB,618
". 054 Rest d sangue, org hemat e alg transt imunit",PB,235
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",PB,14196
. 055 Diabetes mellitus,PB,11348
. 056 Desnutrição,PB,1058
". 057 Rest doenças endócr, nutricion e metabólicas",PB,1790
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,PB,1779
. 058 Transt ment e comport uso subst psicoativas,PB,1235
... 058.1 Trans ment e comport devid uso álcool,PB,809
. 059 Rest transtornos mentais e comportamentais,PB,544
060-063 DOENÇAS DO SISTEMA NERVOSO,PB,5005
. 060 Meningite,PB,70
. 061 Doença de Alzheimer,PB,2849
. 062 Epilepsia,PB,430
. 063 Restante das doenças do sistema nervoso,PB,1656
064 DOENÇAS DOS OLHOS E ANEXOS,PB,3
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,PB,23
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,PB,47592
. 066 Febre reumát aguda e doen reum crôn coração,PB,266
. 067 Doenças hipertensivas,PB,8993
. 068 Doenças isquêmicas do coração,PB,16532
... 068.1 Infarto agudo do miocárdio,PB,13973
. 069 Outras doenças cardíacas,PB,8172
. 070 Doenças cerebrovasculares,PB,11797
. 071 Aterosclerose,PB,120
. 072 Rest doenças do aparelho circulatório,PB,1712
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,PB,20756
. 073 Influenza (gripe),PB,186
. 074 Pneumonia,PB,11477
. 075 Out infec agudas das vias aéreas inferiores,PB,182
... 075.1 Bronquiolite,PB,40
. 076 Doenças crônicas das vias aéreas inferiores,PB,5086
... 076.1 Asma,PB,348
. 077 Restante  doenças do aparelho respiratório,PB,3825
078-082 DOENÇAS DO APARELHO DIGESTIVO,PB,8813
". 078 Úlcera gástrica, duodenal e péptica",PB,476
. 079 Peritonite,PB,152
. 080 Doenças do fígado,PB,3703
... 080.1 Doença alcoólica do fígado,PB,1505
... 080.2 Fibrose e cirrose do fígado,PB,1043
... 080.3 Outras doenças do fígado,PB,1155
. 081 Colecistite,PB,235
. 082 Rest doenças do aparelho digestivo,PB,4247
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,PB,1203
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,PB,731
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,PB,6475
. 085 D glomerulares e d renais túbulo-interstic,PB,436
. 086 Insuficiência renal,PB,2321
. 087 Rest doenças do aparelho geniturinário,PB,3718
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",PB,267
. 088 Gravidez que termina em aborto,PB,11
. 089 Outras causas obstétricas diretas,PB,110
. 090 Causas obstétricas indiretas,PB,113
. 091 Causa obstétrica não espec direta/indireta,PB,6
. 092 Causas maternas tardias e sequelas,PB,27
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,PB,2511
. 093 Feto e recemnasc afet fat mat e compl grav,PB,595
. 094 Transt relac duração gestação e cresc fetal,PB,141
. 095 Traumatismo de parto,PB,7
. 096 Trans resp e cardiovas espec per perinatal,PB,926
. 097 Rest afec originadas no período perinatal,PB,842
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",PB,1187
. 098 Malformações congênitas do sistema nervoso,PB,207
. 099 Malf congênitas do aparelho circulatório,PB,426
". 100 Rest de malf cong, deform e anomal Cromoss",PB,554
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",PB,9741
. 101 Senilidade,PB,605
. 102 Morte sem assistência médica,PB,1606
". 103 Rest sint, sin e ach anorm clín e laborat",PB,7530
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,PB,17802
. 104 Acidentes de transporte,PB,4995
. 105 Quedas,PB,2160
. 106 Afogamento e submersões acidentais,PB,615
". 107 Exposição à fumaça, ao fogo e às chamas",PB,60
". 108 Envenen, intoxic por ou expos a subst nociv",PB,30
. 109 Lesões autoprovocadas voluntariamente,PB,1827
. 110 Agressões,PB,6451
. 111 Eventos(fatos) cuja intenção é indeterminada,PB,371
. 112 Intervenções legais e operações de guerra,PB,2
. 113 Todas as outras causas externas,PB,1291
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,PE,45889
. 001 Doenças infecciosas intestinais,PE,1929
... 003 Diarréia e gastroenterite orig infec pres,PE,1568
... 004 Outras doenças infecciosas intestinais,PE,361
..... 004.1 Febres tifóide e paratifóide,PE,0
. 005-006 Tuberculose,PE,2316
... 005 Tuberculose respiratória,PE,2099
... 006 Outras tuberculoses,PE,217
. 007-015 Outras doenças bacterianas,PE,8525
... 008 Leptospirose,PE,263
... 009 Hanseníase,PE,41
... 010 Tétano,PE,18
..... 010.1 Tétano neonatal,PE,0
..... 010.3 Tétano acidental,PE,18
... 011 Difteria,PE,0
... 012 Coqueluche,PE,0
... 013 Infecção meningocócica,PE,20
... 014 Septicemia,PE,6994
... 015 Infecções com transmissão predom sexual,PE,123
. 016-023 Doenças virais,PE,3829
... 017 Raiva,PE,0
... 018 Dengue,PE,46
... 019 Febre amarela,PE,0
