DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
1987-09-01,PRECOS12_IPCAAB12,1987-09-01T00:00:00-03:00,1,9,1987,5.73
1987-10-01,PRECOS12_IPCAAB12,1987-10-01T00:00:00-03:00,1,10,1987,8.54
1987-11-01,PRECOS12_IPCAAB12,1987-11-01T00:00:00-03:00,1,11,1987,15.13
1987-12-01,PRECOS12_IPCAAB12,1987-12-01T00:00:00-02:00,1,12,1987,13.52
1988-01-01,PRECOS12_IPCAAB12,1988-01-01T00:00:00-02:00,1,1,1988,17.34
1988-02-01,PRECOS12_IPCAAB12,1988-02-01T00:00:00-02:00,1,2,1988,13.92
1988-03-01,PRECOS12_IPCAAB12,1988-03-01T00:00:00-03:00,1,3,1988,19.24
1988-04-01,PRECOS12_IPCAAB12,1988-04-01T00:00:00-03:00,1,4,1988,20.52
1988-05-01,PRECOS12_IPCAAB12,1988-05-01T00:00:00-03:00,1,5,1988,17.24
1988-06-01,PRECOS12_IPCAAB12,1988-06-01T00:00:00-03:00,1,6,1988,23.1
1988-07-01,PRECOS12_IPCAAB12,1988-07-01T00:00:00-03:00,1,7,1988,26.41
1988-08-01,PRECOS12_IPCAAB12,1988-08-01T00:00:00-03:00,1,8,1988,20.9
1988-09-01,PRECOS12_IPCAAB12,1988-09-01T00:00:00-03:00,1,9,1988,29.6
1988-10-01,PRECOS12_IPCAAB12,1988-10-01T00:00:00-03:00,1,10,1988,29.97
1988-11-01,PRECOS12_IPCAAB12,1988-11-01T00:00:00-03:00,1,11,1988,29.96
1988-12-01,PRECOS12_IPCAAB12,1988-12-01T00:00:00-02:00,1,12,1988,28.61
1989-01-01,PRECOS12_IPCAAB12,1989-01-01T00:00:00-02:00,1,1,1989,34.98
1989-02-01,PRECOS12_IPCAAB12,1989-02-01T00:00:00-02:00,1,2,1989,14.1
1989-03-01,PRECOS12_IPCAAB12,1989-03-01T00:00:00-03:00,1,3,1989,2.76
1989-04-01,PRECOS12_IPCAAB12,1989-04-01T00:00:00-03:00,1,4,1989,6.32
1989-05-01,PRECOS12_IPCAAB12,1989-05-01T00:00:00-03:00,1,5,1989,21.72
1989-06-01,PRECOS12_IPCAAB12,1989-06-01T00:00:00-03:00,1,6,1989,39.94
1989-07-01,PRECOS12_IPCAAB12,1989-07-01T00:00:00-03:00,1,7,1989,24.81
1989-08-01,PRECOS12_IPCAAB12,1989-08-01T00:00:00-03:00,1,8,1989,32.56
1989-09-01,PRECOS12_IPCAAB12,1989-09-01T00:00:00-03:00,1,9,1989,29.39
1989-10-01,PRECOS12_IPCAAB12,1989-10-01T00:00:00-03:00,1,10,1989,31.67
1989-11-01,PRECOS12_IPCAAB12,1989-11-01T00:00:00-03:00,1,11,1989,46.76
1989-12-01,PRECOS12_IPCAAB12,1989-12-01T00:00:00-02:00,1,12,1989,54.28
1990-01-01,PRECOS12_IPCAAB12,1990-01-01T00:00:00-02:00,1,1,1990,73.6
1990-02-01,PRECOS12_IPCAAB12,1990-02-01T00:00:00-02:00,1,2,1990,67.65
1990-03-01,PRECOS12_IPCAAB12,1990-03-01T00:00:00-03:00,1,3,1990,90.23
1990-04-01,PRECOS12_IPCAAB12,1990-04-01T00:00:00-03:00,1,4,1990,7.38
1990-05-01,PRECOS12_IPCAAB12,1990-05-01T00:00:00-03:00,1,5,1990,3.33
1990-06-01,PRECOS12_IPCAAB12,1990-06-01T00:00:00-03:00,1,6,1990,10.9
1990-07-01,PRECOS12_IPCAAB12,1990-07-01T00:00:00-03:00,1,7,1990,14.86
1990-08-01,PRECOS12_IPCAAB12,1990-08-01T00:00:00-03:00,1,8,1990,10.29
1990-09-01,PRECOS12_IPCAAB12,1990-09-01T00:00:00-03:00,1,9,1990,15.01
1990-10-01,PRECOS12_IPCAAB12,1990-10-01T00:00:00-03:00,1,10,1990,12.67
1990-11-01,PRECOS12_IPCAAB12,1990-11-01T00:00:00-03:00,1,11,1990,15.79
1990-12-01,PRECOS12_IPCAAB12,1990-12-01T00:00:00-02:00,1,12,1990,16.92
1991-01-01,PRECOS12_IPCAAB12,1991-01-01T00:00:00-02:00,1,1,1991,21.94
1991-02-01,PRECOS12_IPCAAB12,1991-02-01T00:00:00-02:00,1,2,1991,18.49
1991-03-01,PRECOS12_IPCAAB12,1991-03-01T00:00:00-03:00,1,3,1991,3.87
1991-04-01,PRECOS12_IPCAAB12,1991-04-01T00:00:00-03:00,1,4,1991,5.28
1991-05-01,PRECOS12_IPCAAB12,1991-05-01T00:00:00-03:00,1,5,1991,4.6
1991-06-01,PRECOS12_IPCAAB12,1991-06-01T00:00:00-03:00,1,6,1991,11.23
1991-07-01,PRECOS12_IPCAAB12,1991-07-01T00:00:00-03:00,1,7,1991,12.79
1991-08-01,PRECOS12_IPCAAB12,1991-08-01T00:00:00-03:00,1,8,1991,
1991-09-01,PRECOS12_IPCAAB12,1991-09-01T00:00:00-03:00,1,9,1991,37.85
1991-10-01,PRECOS12_IPCAAB12,1991-10-01T00:00:00-03:00,1,10,1991,25.61
1991-11-01,PRECOS12_IPCAAB12,1991-11-01T00:00:00-03:00,1,11,1991,30.91
1991-12-01,PRECOS12_IPCAAB12,1991-12-01T00:00:00-02:00,1,12,1991,21.66
1992-01-01,PRECOS12_IPCAAB12,1992-01-01T00:00:00-02:00,1,1,1992,24.3
1992-02-01,PRECOS12_IPCAAB12,1992-02-01T00:00:00-02:00,1,2,1992,24.68
1992-03-01,PRECOS12_IPCAAB12,1992-03-01T00:00:00-03:00,1,3,1992,20.89
1992-04-01,PRECOS12_IPCAAB12,1992-04-01T00:00:00-03:00,1,4,1992,18.91
1992-05-01,PRECOS12_IPCAAB12,1992-05-01T00:00:00-03:00,1,5,1992,25.34
1992-06-01,PRECOS12_IPCAAB12,1992-06-01T00:00:00-03:00,1,6,1992,20.57
